conjunto,n_columnas,n,f1_macro,precision_direccional,exactitud,f1_maximo,f1_minimo,f1_continuidad,n_entrenamiento,delta_f1_macro
sin_ventana_deslizante,59,1959,0.2656,0.7047,0.3395,0.1715,0.173,0.4523,9141.0,0.0106
sin_correlacion_cruzada,58,1959,0.2601,0.772,0.3185,0.1792,0.1823,0.4187,9141.0,0.0051
sin_retornos,46,1959,0.2573,0.7927,0.3109,0.1816,0.184,0.4064,9141.0,0.0024
sin_volatilidad,60,1959,0.2552,0.7927,0.3073,0.1857,0.1786,0.4013,9141.0,0.0002
completo,63,1959,0.255,0.7772,0.3093,0.1768,0.1825,0.4057,9141.0,0.0
sin_rezagos_de_apoyo,43,1959,0.2517,0.8135,0.2986,0.1865,0.1814,0.3872,9141.0,-0.0033
sin_indicadores_tecnicos,53,1959,0.2498,0.7876,0.2991,0.174,0.1851,0.3903,9141.0,-0.0052
sin_rezagos,39,1959,0.2475,0.7979,0.294,0.1852,0.1752,0.3821,9141.0,-0.0075
solo_LTC,28,1959,0.2468,0.8083,0.2915,0.1831,0.1801,0.3773,9141.0,-0.0082
baseline_trivial,0,1959,0.3161,0.0,0.9015,0.0,0.0,0.9482,,
baseline_mayoritario,0,1959,0.3161,0.0,0.9015,0.0,0.0,0.9482,,
baseline_aleatorio,0,1959,0.3368,0.0518,0.8224,0.0518,0.0538,0.9048,,
