,centro,escala,constante
LTC_retorno_1,0.000384,0.016246,False
LTC_retorno_3,0.000977,0.028844,False
LTC_retorno_7,0.001713,0.046415,False
LTC_volatilidad_7,0.013882,0.011317,False
LTC_volatilidad_14,0.014926,0.010237,False
LTC_volatilidad_30,0.0152,0.009476,False
corr_LTC_BTC_30,0.768336,0.203814,False
corr_LTC_ETH_30,0.792601,0.202471,False
corr_LTC_SOL_30,0.650908,0.285901,False
corr_LTC_XRP_30,0.692041,0.300201,False
corr_LTC_ADA_30,0.73328,0.22705,False
LTC_dist_sma_7,0.000869,0.02261,False
LTC_dist_sma_25,0.001327,0.049837,False
LTC_dist_ema_12,0.000814,0.026517,False
LTC_dist_ema_26,0.000729,0.042373,False
LTC_rsi_14,50.235189,15.730336,False
LTC_macd,-0.000181,0.020746,False
LTC_macd_senal,-9.8e-05,0.019441,False
LTC_macd_histograma,0.000261,0.006567,False
LTC_bollinger_pctb_20,0.521641,0.496176,False
LTC_bollinger_ancho_20,0.091037,0.080438,False
LTC_rango_rel_7,0.036433,0.034953,False
LTC_posicion_rango_7,0.548673,0.847125,False
LTC_asimetria_retornos_7,0.014212,1.283609,False
LTC_curtosis_retornos_7,0.023826,2.607859,False
LTC_rango_rel_20,0.078169,0.065922,False
LTC_posicion_rango_20,0.530435,0.661145,False
LTC_asimetria_retornos_20,-0.047713,1.206957,False
LTC_curtosis_retornos_20,0.796224,2.435656,False
LTC_cierre_rezago_1,83.29,62.365,False
LTC_cierre_rezago_5,83.3,62.3925,False
LTC_cierre_rezago_6,83.31,62.4,False
LTC_cierre_rezago_7,83.31,62.4125,False
BTC_cierre_rezago_1,35872.89,27072.605,False
BTC_cierre_rezago_5,35859.15,27025.0225,False
BTC_cierre_rezago_6,35850.17,27002.53,False
BTC_cierre_rezago_7,35839.39,26991.1625,False
BTC_retorno_1,0.000218,0.010144,False
BTC_retorno_3,0.000462,0.019016,False
ETH_cierre_rezago_1,1948.805,1372.655,False
ETH_cierre_rezago_5,1947.185,1373.12,False
ETH_cierre_rezago_6,1945.91,1373.27,False
ETH_cierre_rezago_7,1945.86,1373.5925,False
ETH_retorno_1,0.000282,0.013298,False
ETH_retorno_3,0.000425,0.025018,False
SOL_cierre_rezago_1,35.475,97.265,False
SOL_cierre_rezago_5,35.4635,97.1325,False
SOL_cierre_rezago_6,35.46,96.99,False
SOL_cierre_rezago_7,35.46,96.96,False
SOL_retorno_1,0.0,0.024597,False
SOL_retorno_3,-0.000514,0.04414,False
XRP_cierre_rezago_1,0.5254,0.24905,False
XRP_cierre_rezago_5,0.5254,0.24955,False
XRP_cierre_rezago_6,0.5254,0.2497,False
XRP_cierre_rezago_7,0.52535,0.249725,False
XRP_retorno_1,0.000131,0.01523,False
XRP_retorno_3,0.000193,0.026545,False
ADA_cierre_rezago_1,0.44685,0.66635,False
ADA_cierre_rezago_5,0.4469,0.669728,False
ADA_cierre_rezago_6,0.4469,0.67077,False
ADA_cierre_rezago_7,0.44695,0.671028,False
ADA_retorno_1,0.0,0.017928,False
ADA_retorno_3,-0.000468,0.031894,False
