columna,familia,caida_media,caida_desviacion,caida_minima,caida_maxima,supera_el_piso_de_ruido,caida_supera_su_propia_desviacion
LTC_posicion_rango_7,ventana_deslizante,0.042225,0.011138,0.026597,0.060664,True,True
LTC_dist_sma_7,indicadores_tecnicos,0.034318,0.007072,0.019007,0.046341,True,True
ADA_cierre_rezago_rel_5,rezagos,0.02584,0.004948,0.016848,0.032596,True,True
LTC_cierre_rezago_rel_5,rezagos,0.025478,0.009778,0.009483,0.043122,True,True
LTC_cierre_rezago_rel_6,rezagos,0.022363,0.010653,0.011921,0.046418,True,True
ADA_cierre_rezago_rel_6,rezagos,0.021867,0.009552,0.001543,0.03585,True,True
LTC_retorno_3,retornos,0.019544,0.006317,0.010705,0.027571,True,True
LTC_dist_ema_12,indicadores_tecnicos,0.019243,0.007498,0.010721,0.031509,True,True
BTC_cierre_rezago_rel_5,rezagos,0.01771,0.005977,0.008026,0.02731,True,True
XRP_cierre_rezago_rel_6,rezagos,0.017547,0.006863,0.007051,0.027202,True,True
LTC_rango_rel_7,ventana_deslizante,0.015614,0.005107,0.006223,0.023926,True,True
LTC_cierre_rezago_rel_1,rezagos,0.015444,0.008402,0.003921,0.028403,True,True
corr_LTC_SOL_30,correlacion_cruzada,0.014664,0.004019,0.00779,0.019699,True,True
SOL_cierre_rezago_rel_6,rezagos,0.013909,0.00638,0.004273,0.024989,True,True
LTC_rsi_14,indicadores_tecnicos,0.01273,0.005395,0.002954,0.020343,True,True
ETH_cierre_rezago_rel_5,rezagos,0.01181,0.006948,-0.001331,0.022832,True,True
LTC_cierre_rezago_rel_7,rezagos,0.011563,0.005651,0.001413,0.018102,True,True
BTC_cierre_rezago_rel_1,rezagos,0.011543,0.007116,0.002156,0.019881,True,True
BTC_cierre_rezago_rel_7,rezagos,0.011397,0.004425,0.004549,0.017176,True,True
ADA_retorno_3,retornos,0.011237,0.007125,0.000621,0.019825,True,True
LTC_retorno_1,retornos,0.010893,0.01053,-0.009671,0.029071,True,True
LTC_volatilidad_14,volatilidad,0.01032,0.005503,-0.000345,0.015874,True,True
LTC_dist_ema_26,indicadores_tecnicos,0.01032,0.002418,0.006716,0.014809,True,True
corr_LTC_ADA_30,correlacion_cruzada,0.009963,0.00306,0.004295,0.013079,True,True
LTC_bollinger_pctb_20,indicadores_tecnicos,0.009789,0.005788,7.8e-05,0.019547,True,True
LTC_macd_histograma,indicadores_tecnicos,0.009764,0.005511,0.002649,0.018859,True,True
ETH_retorno_3,retornos,0.009681,0.005332,0.000126,0.018947,True,True
ETH_retorno_1,retornos,0.009667,0.004312,0.002192,0.01643,True,True
SOL_cierre_rezago_rel_1,rezagos,0.009588,0.006942,0.001955,0.021555,True,True
ADA_cierre_rezago_rel_7,rezagos,0.009431,0.006664,-0.003044,0.018798,True,True
SOL_cierre_rezago_rel_7,rezagos,0.009229,0.004644,0.002385,0.01415,True,True
LTC_asimetria_retornos_7,retornos,0.009007,0.005491,4.9e-05,0.020663,True,True
LTC_dist_sma_25,indicadores_tecnicos,0.008941,0.005266,0.000374,0.017773,True,True
BTC_cierre_rezago_rel_6,rezagos,0.008862,0.006594,-0.0002,0.020686,True,True
XRP_cierre_rezago_rel_5,rezagos,0.008814,0.005378,0.003462,0.017759,True,True
LTC_retorno_7,retornos,0.008736,0.006325,-0.004421,0.016754,True,True
SOL_cierre_rezago_rel_5,rezagos,0.008516,0.00251,0.004762,0.011376,True,True
SOL_retorno_3,retornos,0.008329,0.006106,0.001378,0.018138,True,True
SOL_retorno_1,retornos,0.008285,0.004532,0.003415,0.015631,True,True
LTC_volatilidad_7,volatilidad,0.008111,0.004075,0.002859,0.014545,True,True
LTC_curtosis_retornos_7,retornos,0.007876,0.006597,-0.004883,0.021041,True,True
corr_LTC_XRP_30,correlacion_cruzada,0.007735,0.004548,0.003093,0.016316,True,True
XRP_retorno_3,retornos,0.007215,0.003942,0.00327,0.01654,True,True
LTC_macd,indicadores_tecnicos,0.007158,0.002155,0.004059,0.009333,True,True
BTC_retorno_1,retornos,0.006977,0.006631,-0.004429,0.019276,True,True
LTC_macd_senal,indicadores_tecnicos,0.006763,0.003965,-0.00016,0.012047,True,True
ETH_cierre_rezago_rel_6,rezagos,0.006333,0.005451,0.00076,0.017052,False,True
LTC_posicion_rango_20,ventana_deslizante,0.006187,0.004054,-0.000232,0.01089,False,True
LTC_rango_rel_20,ventana_deslizante,0.005945,0.004993,-0.00331,0.012332,False,True
LTC_volatilidad_30,volatilidad,0.005747,0.006378,-0.003689,0.016635,False,False
corr_LTC_ETH_30,correlacion_cruzada,0.00342,0.003931,-0.000993,0.011577,False,False
ETH_cierre_rezago_rel_7,rezagos,0.003234,0.005088,-0.004531,0.009026,False,False
XRP_cierre_rezago_rel_7,rezagos,0.003017,0.005454,-0.005133,0.015077,False,False
BTC_retorno_3,retornos,0.002879,0.007523,-0.005042,0.019673,False,False
corr_LTC_BTC_30,correlacion_cruzada,0.002814,0.002452,-0.001294,0.007347,False,True
LTC_bollinger_ancho_20,indicadores_tecnicos,0.002735,0.00409,-0.004092,0.009196,False,False
XRP_retorno_1,retornos,0.002667,0.003696,-0.002299,0.009979,False,False
LTC_asimetria_retornos_20,retornos,0.002404,0.003492,-0.003689,0.008459,False,False
ETH_cierre_rezago_rel_1,rezagos,0.002073,0.004021,-0.00395,0.008522,False,False
