rezago,acf,inferior,superior,significativo,activo
1,-0.036413,-0.078353,0.005526,False,LTC
2,-0.014713,-0.056708,0.027282,False,LTC
3,-0.029295,-0.071299,0.012709,False,LTC
4,0.008288,-0.033752,0.050328,False,LTC
5,-0.030013,-0.072055,0.01203,False,LTC
6,0.028113,-0.013967,0.070194,False,LTC
7,-0.01521,-0.057323,0.026904,False,LTC
8,-0.04706,-0.089183,-0.004937,True,LTC
9,0.017889,-0.024327,0.060104,False,LTC
10,-0.02034,-0.062569,0.021889,False,LTC
11,0.023498,-0.018748,0.065744,False,LTC
12,-0.034967,-0.077236,0.007303,False,LTC
13,0.018583,-0.023737,0.060903,False,LTC
14,-0.047011,-0.089345,-0.004676,True,LTC
15,0.016168,-0.026258,0.058594,False,LTC
16,0.008497,-0.03394,0.050934,False,LTC
17,-0.021502,-0.063942,0.020938,False,LTC
18,-0.017892,-0.060351,0.024567,False,LTC
19,0.016534,-0.025938,0.059006,False,LTC
20,0.036629,-0.005855,0.079113,False,LTC
