rezago,acf,inferior,superior,significativo,activo
1,-0.019452,-0.036568,-0.002336,True,LTC
2,-0.003869,-0.020991,0.013254,False,LTC
3,0.007515,-0.009608,0.024637,False,LTC
4,0.016303,-0.00082,0.033427,False,LTC
5,-0.030713,-0.047841,-0.013585,True,LTC
6,-0.043588,-0.060732,-0.026444,True,LTC
7,0.022281,0.005104,0.039458,True,LTC
8,-0.00033,-0.017515,0.016855,False,LTC
9,-0.00935,-0.026535,0.007835,False,LTC
10,-1.5e-05,-0.017201,0.017172,False,LTC
11,0.024179,0.006992,0.041365,True,LTC
12,-0.022152,-0.039348,-0.004955,True,LTC
13,0.017705,0.0005,0.034909,True,LTC
14,-0.011766,-0.028976,0.005444,False,LTC
15,0.006819,-0.010393,0.024032,False,LTC
16,-0.011816,-0.029029,0.005397,False,LTC
17,0.005791,-0.011425,0.023006,False,LTC
18,-0.001484,-0.018701,0.015732,False,LTC
19,-0.038101,-0.055317,-0.020885,True,LTC
20,-0.00864,-0.025882,0.008601,False,LTC
