activo,rezago,n,correlacion,banda_95,significativo
BTC,0,2184,0.715302,0.041939,True
BTC,1,2183,-0.011558,0.041949,False
BTC,2,2182,-0.013166,0.041959,False
BTC,3,2181,0.02394,0.041968,False
BTC,4,2180,0.016281,0.041978,False
BTC,5,2179,-0.008871,0.041987,False
BTC,6,2178,0.012731,0.041997,False
BTC,7,2177,0.004639,0.042007,False
BTC,8,2176,-0.035982,0.042016,False
BTC,9,2175,0.032976,0.042026,False
BTC,10,2174,-0.002035,0.042036,False
ETH,0,2184,0.739543,0.041939,True
ETH,1,2183,-0.035143,0.041949,False
ETH,2,2182,-0.016316,0.041959,False
ETH,3,2181,-0.00065,0.041968,False
ETH,4,2180,0.011637,0.041978,False
ETH,5,2179,-0.059394,0.041987,True
ETH,6,2178,0.075253,0.041997,True
ETH,7,2177,-0.02336,0.042007,False
ETH,8,2176,-0.038863,0.042016,False
ETH,9,2175,0.000396,0.042026,False
ETH,10,2174,0.030679,0.042036,False
SOL,0,2184,0.523797,0.041939,True
SOL,1,2183,-0.056518,0.041949,True
SOL,2,2182,-0.017017,0.041959,False
SOL,3,2181,-0.03895,0.041968,False
SOL,4,2180,-0.003151,0.041978,False
SOL,5,2179,-0.011814,0.041987,False
SOL,6,2178,0.077636,0.041997,True
SOL,7,2177,-7.7e-05,0.042007,False
SOL,8,2176,-0.037666,0.042016,False
SOL,9,2175,0.031821,0.042026,False
SOL,10,2174,0.006543,0.042036,False
XRP,0,2184,0.600047,0.041939,True
XRP,1,2183,-0.040423,0.041949,False
XRP,2,2182,-0.014818,0.041959,False
XRP,3,2181,0.003933,0.041968,False
XRP,4,2180,-0.007169,0.041978,False
XRP,5,2179,-0.032604,0.041987,False
XRP,6,2178,0.040954,0.041997,False
XRP,7,2177,0.004774,0.042007,False
XRP,8,2176,-0.038797,0.042016,False
XRP,9,2175,0.092487,0.042026,True
XRP,10,2174,-0.006092,0.042036,False
ADA,0,2184,0.640889,0.041939,True
ADA,1,2183,-0.024912,0.041949,False
ADA,2,2182,-0.017607,0.041959,False
ADA,3,2181,-0.009508,0.041968,False
ADA,4,2180,0.005932,0.041978,False
ADA,5,2179,-0.055426,0.041987,True
ADA,6,2178,0.004814,0.041997,False
ADA,7,2177,0.016282,0.042007,False
ADA,8,2176,-0.054342,0.042016,True
ADA,9,2175,0.051661,0.042026,True
ADA,10,2174,-0.011172,0.042036,False
