activo,rezago,n,correlacion,banda_95,significativo
BTC,0,13113,0.729199,0.017116,True
BTC,1,13112,-0.022541,0.017116,True
BTC,2,13111,0.011156,0.017117,False
BTC,3,13110,0.012532,0.017118,False
BTC,4,13109,-0.004706,0.017118,False
BTC,5,13108,-0.01604,0.017119,False
BTC,6,13107,-0.036805,0.01712,True
BTC,7,13106,0.019178,0.01712,True
BTC,8,13105,0.011434,0.017121,False
BTC,9,13104,0.006965,0.017122,False
BTC,10,13103,0.001847,0.017122,False
ETH,0,13113,0.752794,0.017116,True
ETH,1,13112,-0.019183,0.017116,True
ETH,2,13111,0.008015,0.017117,False
ETH,3,13110,-0.001262,0.017118,False
ETH,4,13109,-0.000322,0.017118,False
ETH,5,13108,-0.019811,0.017119,True
ETH,6,13107,-0.048003,0.01712,True
ETH,7,13106,0.024635,0.01712,True
ETH,8,13105,0.002586,0.017121,False
ETH,9,13104,0.007855,0.017122,False
ETH,10,13103,0.003153,0.017122,False
SOL,0,13113,0.583096,0.017116,True
SOL,1,13112,-0.013809,0.017116,False
SOL,2,13111,0.009088,0.017117,False
SOL,3,13110,-0.007555,0.017118,False
SOL,4,13109,-0.003042,0.017118,False
SOL,5,13108,-0.014015,0.017119,False
SOL,6,13107,-0.049803,0.01712,True
SOL,7,13106,0.021521,0.01712,True
SOL,8,13105,-0.008181,0.017121,False
SOL,9,13104,0.005676,0.017122,False
SOL,10,13103,0.001661,0.017122,False
XRP,0,13113,0.63322,0.017116,True
XRP,1,13112,-0.006556,0.017116,False
XRP,2,13111,0.001121,0.017117,False
XRP,3,13110,0.003805,0.017118,False
XRP,4,13109,0.003621,0.017118,False
XRP,5,13108,-0.026502,0.017119,True
XRP,6,13107,-0.045454,0.01712,True
XRP,7,13106,0.015594,0.01712,False
XRP,8,13105,0.007641,0.017121,False
XRP,9,13104,-0.006125,0.017122,False
XRP,10,13103,0.014842,0.017122,False
ADA,0,13113,0.69775,0.017116,True
ADA,1,13112,-0.019213,0.017116,True
ADA,2,13111,0.006785,0.017117,False
ADA,3,13110,0.008441,0.017118,False
ADA,4,13109,0.012178,0.017118,False
ADA,5,13108,-0.025538,0.017119,True
ADA,6,13107,-0.034799,0.01712,True
ADA,7,13106,0.012079,0.01712,False
ADA,8,13105,-6.5e-05,0.017121,False
ADA,9,13104,-0.010625,0.017122,False
ADA,10,13103,0.001064,0.017122,False
